roadid,lat,lon,lat.1,lon.1
1,28.6700954,77.2316164,28.679812,77.2292917
2,28.5512118,77.1298372,28.5469374,77.1245596
4,28.5918176,77.1607835,28.6057297,77.1255522
5,28.4288725,77.0369663,28.4171872,77.0404096
7,28.4980904,77.0889468,28.4983989,77.0886416
10,28.4685768,77.0575386,28.4583159,77.0714574
11,28.6347929,77.222108,28.6347929,77.222108
12,28.6145682,77.2279122,28.6145682,77.2279122
17,28.5954457,77.2405059,28.5950489,77.2404435
19,28.6071361,77.2402287,28.5972782,77.2232486
21,28.4348728,77.0493175,28.458103,77.0713343
22,28.4646269,77.0342159,28.4689208,77.037995
25,28.4287802,77.0371865,28.434624,77.0490423
26,28.4458742,77.0360242,28.4348176,77.0490995
28,28.4265685,77.0572235,28.4176355,77.0685646
35,28.4521326,77.0416755,28.4514429,77.0422933
37,28.4561733,77.0373808,28.4521326,77.0416755
41,28.4578634,77.0275496,28.4597214,77.0316682
43,28.4732911,77.0556744,28.4688961,77.0572358
45,28.4735954,77.0556441,28.4747418,77.0584003
52,28.4582674,77.0718314,28.4588786,77.0738136
53,28.457881,77.0717116,28.457919,77.0717883
54,28.4171872,77.0404096,28.4189024,77.0453062
56,28.4775507,77.068299,28.4819834,77.0945414
57,28.6098719,77.1914599,28.5955665,77.1687492
60,28.4811731,77.0493943,28.4811731,77.0493943
62,28.5933516,77.2433284,28.5944446,77.2426468
63,28.592863,77.2434736,28.5894551,77.2128962
65,28.5895315,77.2398676,28.590186,77.2397088
68,28.6140639,77.2277545,28.6149455,77.227416
71,28.6109165,77.2281653,28.609976,77.2248623
75,28.6106633,77.2349926,28.6107005,77.2340546
77,28.4633126,77.0951247,28.4786274,77.0936923
81,28.6044876,77.1984284,28.6036182,77.1965495
86,28.5852921,77.1847525,28.5841451,77.1838866
89,28.5848428,77.1929064,28.5818169,77.1910264
92,28.5857629,77.0285308,28.5948222,77.0362258
97,28.6169411,77.2127388,28.6169411,77.2127388
98,28.6170544,77.2119285,28.6186663,77.2096351
104,28.6200174,77.2270064,28.6200174,77.2270064
105,28.6167687,77.2120156,28.615227,77.2093182
108,28.6014338,77.2299453,28.6019793,77.2297867
112,28.6031436,77.2238708,28.5915512,77.212684
113,28.6034037,77.2241078,28.6034037,77.2241078
114,28.6061883,77.2181422,28.6061883,77.2181422
120,28.6035906,77.2236301,28.6039412,77.2234478
122,28.6064357,77.2190048,28.6064571,77.2186347
125,28.6072985,77.2171905,28.6075505,77.2170816
129,28.6103376,77.211564,28.6091872,77.209107
130,28.608769,77.2084104,28.6087871,77.2079948
133,28.6083779,77.2091012,28.6086857,77.2087476
134,28.6302503,77.2180853,28.6236888,77.2130514
137,28.6263031,77.2077104,28.6264738,77.207169
142,28.6314266,77.216835,28.627086,77.2073711
143,28.6258728,77.2314803,28.6258728,77.2314803
145,28.6217043,77.2154399,28.6230763,77.2128552
150,28.6236832,77.1998494,28.6237136,77.1993889
153,28.6265267,77.2060728,28.6267787,77.2059287
154,28.6263,77.2067984,28.6259054,77.2065775
155,28.6259054,77.2065775,28.6263092,77.2064545
159,28.6235732,77.2002309,28.6231567,77.2000672
160,28.6231567,77.2000672,28.6235903,77.1999895
166,28.6176343,77.1981373,28.6175825,77.1979797
168,28.4483369,76.9972898,28.4384654,77.0061734
169,28.6026099,77.1930384,28.6026099,77.1930384
177,28.4539702,77.0434409,28.4556545,77.0453846
178,28.4539335,77.0441952,28.4547723,77.0447524
179,28.457069,77.0467425,28.4581747,77.047453
181,28.4651975,77.0545015,28.4656243,77.0546669
182,28.4613966,77.0505517,28.4617159,77.0512647
184,28.46116,77.0511215,28.4616321,77.0513663
190,28.4489512,77.0389655,28.4507764,77.0403742
193,28.4814342,77.1114057,28.463063,77.0954286
198,28.4470615,77.0368088,28.4482482,77.0383288
203,28.4777375,77.0696631,28.4776212,77.0696823
204,28.480102,77.0842067,28.4802369,77.0841845
208,28.4785426,77.1876735,28.5057717,77.1745428
212,28.5859665,77.1468296,28.577191,77.144236
217,28.4947398,77.0852787,28.4956002,77.0859602
219,28.4708624,77.0598272,28.471166,77.0603678
222,28.5734645,77.3129641,28.5726009,77.3102551
223,28.5783796,77.2670849,28.5731413,77.259381
225,28.4111032,77.2364688,28.4678707,77.108027
229,28.5459427,77.0598024,28.5353009,77.1109948
230,28.4332938,77.0078452,28.4337066,77.0080945
231,28.4391803,77.0126555,28.4407339,77.0140833
232,28.4475048,77.0266108,28.4470492,77.0288808
233,28.3969379,76.9829674,28.4458654,77.0334395
238,28.5756434,77.1776301,28.5809932,77.1745522
239,28.6424749,77.1750842,28.6418265,77.1749119
242,28.4475048,77.0266108,28.4459707,77.0319248
243,28.4482482,77.0383288,28.4489512,77.0389655
247,28.4489512,77.0389655,28.4518613,77.0417414
249,28.4556545,77.0453846,28.457069,77.0467425
251,28.457069,77.0467425,28.4575879,77.0472474
254,28.4617159,77.0512647,28.4651975,77.0545015
255,28.4651975,77.0545015,28.471166,77.0603678
258,28.471166,77.0603678,28.4735168,77.0633088
259,28.4735168,77.0633088,28.4827411,77.0738218
261,28.4827411,77.0738218,28.4947398,77.0852787
265,28.5077158,77.09464,28.5083878,77.0944263
266,28.5085952,77.0948162,28.4980266,77.0887205
267,28.5083878,77.0944263,28.5125688,77.0925464
275,28.5191357,77.2095435,28.5189704,77.2093521
276,28.5796106,77.212072,28.5764284,77.2103106
282,28.442305,77.060234,28.4369555,77.0672387
284,28.4384654,77.0061734,28.4360811,77.0100439
285,28.430981,77.1050924,28.430981,77.1050924
286,28.4193402,77.1051253,28.430981,77.1050924
294,28.5689663,77.2124272,28.5681197,77.2081514
295,28.3957384,76.9816985,28.4475048,77.0266108
296,28.5595451,77.1712706,28.553305,77.1663272
297,28.6760384,77.3231194,28.6736415,77.3229373
298,28.6354596,77.393205,28.6323233,77.3388827
314,28.6003061,77.2173168,28.6001983,77.2169488
316,28.6044317,77.2115046,28.6044317,77.2115046
319,28.603854,77.2112063,28.6037599,77.2108638
322,28.6112435,77.19756,28.6112435,77.19756
339,28.6415329,77.1748115,28.6415329,77.1748115
340,28.6418708,77.1743097,28.6543423,77.1536004
341,28.645076,77.1976381,28.645076,77.1976381
344,28.5707395,77.3109135,28.5733643,77.3054576
346,28.5850141,77.1926082,28.5850141,77.1926082
350,28.5792363,77.1900689,28.5693397,77.1897605
354,28.5683072,77.2239162,28.5690788,77.2105149
355,28.5695499,77.19736,28.5692373,77.1919093
358,28.5654236,77.2337036,28.5668232,77.227769
364,28.4834147,77.0954143,28.4840497,77.094946
365,28.4780555,77.0719747,28.4590622,77.0753526
371,28.4631085,77.095019,28.4631085,77.095019
372,28.4316091,77.1050575,28.4629624,77.0951719
374,28.5386054,77.1165939,28.5384174,77.1163211
375,28.5673047,77.1342101,28.551004,77.1295748
377,28.5384174,77.1163211,28.5227666,77.0990927
379,28.5177011,77.0956637,28.5151935,77.0940437
383,28.5814982,77.1908236,28.5795416,77.190057
384,28.5818169,77.1910264,28.5814982,77.1908236
390,28.4632243,77.0960938,28.4624056,77.0955331
395,28.4767337,77.0647404,28.4775507,77.068299
404,28.6250107,77.1105956,28.6217691,77.0889345
405,28.5804352,77.1748732,28.5901748,77.1688389
411,28.6089321,77.1173587,28.6119317,77.1113923
415,28.6168341,77.1058478,28.636083,77.0965691
417,28.6366859,77.0969278,28.6366859,77.0969278
420,28.4985228,77.0893863,28.4979582,77.0893599
430,28.4689208,77.037995,28.4814224,77.0490776
431,28.6327553,77.216473,28.6337418,77.2059717
433,28.6338712,77.2053305,28.6358525,77.201734
436,28.6411042,77.2054196,28.626921,77.1955011
437,28.6415905,77.1748701,28.6335534,77.1738065
438,28.6451571,77.1969662,28.6417587,77.1749244
440,28.6397254,77.207644,28.6409623,77.2053258
447,28.5671733,77.1340317,28.5699267,77.1335489
448,28.577191,77.144236,28.5673047,77.1342101
450,28.567049,77.1277844,28.5701621,77.121897
451,28.5702636,77.1340182,28.567049,77.1277844
