803,35,1,World Trade Tower - Tower A,Sector 16,28.577215,77.31708,625000,612500
804,23,1,World Trade Tower - Tower B,Sector 16,28.576843,77.316154,1275000,1173000
3603,4,1,ASF Symphony,Sector 63,28.620575,77.37658,126000,126000
629,9,1,Stellar IT Park Tower 1,Sector 62,28.612175,77.3623,464000,25000
609,13,1,Stellar Business park,Tech Zone,28.409485,77.515045,638000,315000
4322,8,1,"",Sector 136,28.502634,77.40571,49600,49600
3480,10,1,MMR Corporate Square,Sector 127,28.533937,77.348236,104000,104000
2704,5,1,"",Sector 67,28.60703,77.38474,18000,18000
681,30,1,Lotus Greens 8,Knowledge Park V,28.55264,77.47698,5136000,5136000
2101,5,1,Acres N Inches,Sector 4,28.5826,77.32527,23800,23800
3576,27,1,Lotus Isle - Tower E,Sector 98,28.53502,77.35972,650000,649998
3478,10,1,"",Sector 125,28.543793,77.33101,250000,250000
1871,3,1,"",Sector 63,28.627268,77.37561,6000,4000
622,12,1,Assotech Business Cresterra - Tower 3,Sector 135,28.496284,77.40251,306000,282000
3321,32,1,Proplarity Bizlife - Tower A,Sector 62,28.626844,77.363,440000,438835
699,41,1,Wave One,Sector 18,28.570152,77.32331,2000000,40000
706,12,1,The Ithum Tower A,Sector 62,28.62729,77.37241,360000,24000
2639,17,1,The Grand Venice,Surajpur Site 4,28.452917,77.526,770000,552500
2680,13,1,Brookfield InfoSpace - Tower 6,Sector 62,28.621668,77.35801,455167,455156
2679,15,1,Brookfield InfoSpace - Tower 5,Sector 62,28.621065,77.358734,455167,455160
2141,5,1,"",Sector 16,28.577814,77.31733,9000,9000
962,9,1,Urbtech Matrix Tower,Sector 132,28.515022,77.373405,200000,162000
749,3,1,IHDP Business Park Studio Block 2,Sector 127,28.53439,77.347336,70000,18000
2131,6,1,"",Sector 4,28.582706,77.325386,25000,25000
993,17,1,Krasa Centrade,Sector 140,28.514692,77.42219,1104500,1104500
3514,10,1,"",Sector 136,28.50462,77.40278,100000,100000
1928,9,1,Synergy Tower,Sector 62,28.628857,77.37381,46800,10400
2728,9,1,Chokhani Square,Sector 18,28.569847,77.32571,72000,13000
2040,5,1,"",Sector 10,28.590353,77.334435,21000,21000
901,8,1,Noida World One Block B,Sector 90,28.51493,77.40887,185900,115000
679,19,1,Lotus Greens 6,Sector 140A,28.509373,77.42286,3535000,3358250
3722,28,1,Bhutani Alphathum - Block B,Sector 90,28.514956,77.40899,756000,621000
3662,6,1,"",Sector 128,28.516748,77.37245,150000,150000
3516,13,1,Ansal Corporate Plaza,Sector 142,28.499952,77.41425,350000,349999
2138,5,1,"",Sector 2,28.584738,77.31305,13750,13750
965,21,1,Urbtech Trade Centre Tower 4,Sector 132,28.514706,77.37671,525000,250000
3474,10,1,"",Sector 125,28.543962,77.330605,170000,170000
986,10,1,Vardhman I Valley,Knowledge Park III,28.476637,77.47997,600000,230485
868,19,1,Airwil Aurum - Wing C,Sector 135,28.50168,77.399506,630000,586000
3905,3,1,Imperia Bandhan,Knowledge Park V,28.557322,77.470024,133000,65000
768,12,1,KLJ Noida One - Tower C,Sector 62,28.622898,77.36643,240000,240000
973,8,1,NSL TechZone Block A,Sector 144,28.496008,77.43516,450000,450000
3724,28,1,Bhutani Alphathum - Block C,Sector 90,28.514616,77.40822,756000,756000
3043,29,1,Supertech Supernova Astralis,Sector 94,28.551388,77.32371,725000,725000
823,19,1,DAH Greentech NX Byte - IT Tower 2,Tech Zone IV,28.601599,77.4339,620000,618012
2672,14,1,Brookfield InfoSpace - Tower 7,Sector 135,28.497665,77.404144,292331,292331
2030,4,1,"",Sector 10,28.591974,77.33446,8000,6000
2076,5,1,"",Sector 18,28.57199,77.3235,5000,2000
637,13,1,Advant Navis Business Park - Tower B,Sector 142,28.500727,77.41033,390000,24000
623,16,1,Assotech Business Cresterra - Tower 4,Sector 135,28.496784,77.40197,306000,304000
3496,9,1,I-Tower,Sector 135,28.681032,77.3703,192905,192904
998,18,1,Airwil Intellicity Spine - Wing B,Tech Zone IV,28.589817,77.43805,740000,509940
621,12,1,Assotech Business Cresterra - Tower 2,Sector 135,28.49654,77.40217,250000,216000
997,18,1,Airwil Intellicity Spine - Wing A,Tech Zone IV,28.589785,77.43802,740000,509940
1494,43,1,Wave Business Tower 1,Sector 32,28.57914,77.35313,1600000,1556746
1960,4,1,"",Sector 63,28.624367,77.378914,10000,2500
1009,29,1,Sikka The Downtown,Sector 98,28.533934,77.358604,464000,174000
2033,4,1,"",Sector 10,28.592365,77.33309,6400,1100
1883,4,1,"",Sector 63,28.629297,77.37628,24000,6000
2037,4,1,"",Udyog Marg,28.596441,77.32768,8000,1000
2647,14,1,Brookfield InfoSpace - Tower 5,Sector 135,28.498459,77.4046,295304,69222
1868,10,1,Devasthali Corporate Tower,Sector 62,28.625015,77.37365,40000,8000
3485,10,1,MMR Heights - Tower A,Sector 126,28.539593,77.34287,233000,233000
